"annotation_id","annotator","created_at","homepage","id","lead_time","sentiment","text","updated_at","url"
1,"2","2024-03-21T17:04:28.075682Z","location: homepage",1,128.383,"Neither","Referrals","2024-03-21T17:04:28.075707Z","https://flexcareinfusion.com/referrals/"
2,"2","2024-03-21T17:04:55.723175Z","location: homepage",2,3.98,"Neither","Appeals","2024-03-21T17:04:55.723234Z","https://liveshopper.com/appeals/"
3,"2","2024-03-21T17:06:07.935108Z","location: about/team",3,60.826,"Neither","Puneet Singh","2024-03-21T17:06:07.935139Z","http://carebridgehealth.com/team2023"
4,"2","2024-03-21T17:06:41.091105Z","location: about/team",4,4.339,"Neither","Dr. Abhi Saxena","2024-03-21T17:06:41.091144Z","http://carebridgehealth.com/team2023"
5,"2","2024-03-21T17:07:17.292620Z","location: homepage",5,16.003,"Neither","Sign up as an advertiserGet qualified leads for your business","2024-03-21T17:07:17.292671Z","https://www.marketcall.com/auth/register/merchant"
6,"2","2024-03-21T17:07:32.875294Z","location: about/team",6,4.415,"Bio","Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities.","2024-03-21T17:07:32.875331Z","http://carebridgehealth.com/team2023"
7,"2","2024-03-21T17:07:43.826401Z","location: about/team",7,3.628,"Title/role","Vice President of Operations","2024-03-21T17:07:43.826441Z","https://flexcareinfusion.com/about-us/#team"
8,"2","2024-03-21T17:08:24.473139Z","location: homepage",8,33.044,"Neither","Why PrestoShopper?","2024-03-21T17:08:24.473172Z","https://liveshopper.com/presto-why-presto/"
9,"2","2024-03-21T17:08:55.155650Z","location: about/team",9,14.971,"About","Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing.","2024-03-21T17:08:55.155670Z","http://carebridgehealth.com/team2023"
10,"2","2024-03-21T17:09:11.564076Z","location: about/team",10,7.069,"Title/role","Executive Vice President, Pharmacy","2024-03-21T17:09:11.564110Z","https://flexcareinfusion.com/about-us/#team"
11,"2","2024-03-21T17:09:38.343944Z","location: about/team",11,3.896,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-03-21T17:09:38.344001Z","https://flexcareinfusion.com/about-us/#team"
12,"2","2024-03-21T17:10:31.936498Z","location: about/team",12,4.244,"Neither","Brandon Kerns","2024-03-21T17:10:31.936545Z","http://carebridgehealth.com/team2023"
13,"2","2024-03-21T18:33:48.462381Z","location: homepage",13,6.943,"Product/Feature","Products and Services","2024-03-21T18:33:48.462421Z","http://carebridgehealth.com/cbproductsandservices23"
14,"2","2024-03-21T18:33:59.215577Z","location: about/team",14,4.579,"Title/role","President, PA Market","2024-03-21T18:33:59.215624Z","http://carebridgehealth.com/team2023"
15,"2","2024-03-21T18:35:38.483250Z","location: homepage",15,5.964,"Neither","inc.com","2024-03-21T18:35:38.483294Z","https://www.inc.com/inc5000/2023/"
16,"2","2024-03-21T18:40:16.009504Z","location: homepage",16,146.377,"Neither","Workforce Solutions","2024-03-21T18:40:16.009543Z","https://tryfacta.com"
17,"2","2024-03-21T18:41:14.800730Z","location: homepage",17,5.966,"Neither","Help center","2024-03-21T18:41:14.800759Z","https://www.marketcall.com/help"
18,"2","2024-03-21T18:41:56.902536Z","location: homepage",18,5.586,"About","Tryfacta Healthcare","2024-03-21T18:41:56.902564Z","https://tryfacta.com"
19,"2","2024-03-21T18:42:49.809280Z","location: homepage",19,42.681,"Neither","Payroll","2024-03-21T18:42:49.809311Z","https://tryfacta.com/strategic-workforce-solutions/payroll"
20,"2","2024-03-21T18:43:09.935568Z","location: about/team",20,5.583,"Neither","Mike Tudeen","2024-03-21T18:43:09.935608Z","http://carebridgehealth.com/team2023"
21,"2","2024-03-21T18:43:33.470248Z","location: about/team",21,3.702,"Title/role","Chief Operating Officer","2024-03-21T18:43:33.470273Z","http://carebridgehealth.com/team2023"
22,"2","2024-03-21T18:43:48.238725Z","location: homepage",22,7.499,"Neither","Overview","2024-03-21T18:43:48.238753Z","https://flexcareinfusion.com/providers/"
23,"2","2024-03-21T18:44:44.505470Z","location: about/team",23,5.545,"Bio","Mark Kharoufeh began his journey in healthcare almost 30 years ago as a pediatric oncology nurse at Los Angeles Children’s Hospital. His evolution in healthcare through various clinical, leadership, and executive roles and a passion for customer service led him down a successful path of business operations. In 2012, Mark was a finalist for AZ Business Magazine’s “Healthcare Professional of the Year” for his leadership in an all-inclusive care under one roof ambulatory healthcare service model. Mark obtained his MBA from Grand Canyon University in 2015 and completed the University of Arizona Eller Executive Leadership Program in 2019.","2024-03-21T18:44:44.505498Z","https://flexcareinfusion.com/about-us/#team"
24,"2","2024-03-21T18:44:54.092615Z","location: homepage",24,3.78,"Neither","Industries","2024-03-21T18:44:54.092637Z","https://www.marketcall.com/industries"
25,"2","2024-03-21T18:45:03.724517Z","location: homepage",25,4.424,"Neither","Software & Platform","2024-03-21T18:45:03.724546Z","https://tryfacta.com/industry/software-platform"
26,"2","2024-03-21T18:45:20.277215Z","location: about/team",26,6.755,"Title/role","Regional President, West","2024-03-21T18:45:20.277252Z","http://carebridgehealth.com/team2023"
27,"2","2024-03-21T18:45:34.732980Z","location: about/team",27,7.824,"Bio","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-03-21T18:45:34.733017Z","https://flexcareinfusion.com/about-us/#team"
28,"2","2024-03-21T18:45:59.499129Z","location: homepage",28,9.424,"Neither","Stuffing","2024-03-21T18:45:59.499174Z","https://tryfacta.com"
29,"2","2024-03-21T18:46:11.072685Z","location: about/team",29,2.694,"Neither","Matthew Holden","2024-03-21T18:46:11.072718Z","https://flexcareinfusion.com/about-us/#team"
30,"2","2024-03-21T18:46:41.228034Z","location: homepage",30,5.478,"Neither","Executive Hiring","2024-03-21T18:46:41.228060Z","https://tryfacta.com/strategic-workforce-solutions/executive-hiring"
31,"2","2024-03-21T18:46:59.303580Z","location: homepage",31,5.343,"Neither","dwight","2024-03-21T18:46:59.303613Z","https://upwardhealth.com/author/gettingraphic/"
32,"2","2024-03-21T18:50:20.789717Z","location: about/team",32,3.132,"Title/role","Executive Chairman","2024-03-21T18:50:20.789750Z","http://carebridgehealth.com/team2023"
33,"2","2024-03-21T18:50:54.160418Z","location: homepage",33,5.099,"Product/Feature","Chameleon Shop Views","2024-03-21T18:50:54.160469Z","https://liveshopper.com/chameleon/"
34,"2","2024-03-21T18:51:05.321076Z","location: homepage",34,5.833,"About","Support","2024-03-21T18:51:05.321118Z","https://www.marketcall.com/support"
