"annotation_id","annotator","created_at","homepage","id","lead_time","sentiment","text","updated_at","url"
134,"1","2024-04-01T14:43:31.076961Z","location: homepage",50981,8.587,"Neither","Referrals","2024-04-01T14:43:31.076992Z","https://flexcareinfusion.com/referrals/"
136,"1","2024-04-01T14:51:49.971050Z","location: homepage",50982,269.569,"Neither","Appeals","2024-04-01T14:51:49.971077Z","https://liveshopper.com/appeals/"
137,"1","2024-04-01T14:52:03.347799Z","location: about/team",50983,8.072,"Bio","Puneet Singh","2024-04-01T14:52:03.347825Z","http://carebridgehealth.com/team2023"
135,"1","2024-04-01T14:47:18.845404Z","location: about/team",50984,2.896,"Bio","Dr. Abhi Saxena","2024-04-01T14:47:18.845434Z","http://carebridgehealth.com/team2023"
138,"1","2024-04-01T14:52:07.835021Z","location: homepage",50985,2.728,"Neither","Sign up as an advertiserGet qualified leads for your business","2024-04-01T14:52:07.835051Z","https://www.marketcall.com/auth/register/merchant"
139,"1","2024-04-01T14:52:34.585500Z","location: about/team",50986,24.797,"Bio","Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities.","2024-04-01T14:52:34.585531Z","http://carebridgehealth.com/team2023"
140,"1","2024-04-01T14:52:41.036262Z","location: about/team",50987,2.996,"Title/role","Vice President of Operations","2024-04-01T14:52:41.036290Z","https://flexcareinfusion.com/about-us/#team"
141,"1","2024-04-01T14:52:45.764415Z","location: homepage",50988,3.156,"Neither","Why PrestoShopper?","2024-04-01T14:52:45.764443Z","https://liveshopper.com/presto-why-presto/"
142,"1","2024-04-01T14:52:58.644796Z","location: about/team",50989,10.922,"Bio","Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing.","2024-04-01T14:52:58.644832Z","http://carebridgehealth.com/team2023"
143,"1","2024-04-01T14:53:15.528804Z","location: about/team",50990,4.976,"Title/role","Executive Vice President, Pharmacy","2024-04-01T14:53:15.528833Z","https://flexcareinfusion.com/about-us/#team"
144,"1","2024-04-01T14:54:47.263669Z","location: about/team",50991,66.022,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-04-01T14:54:47.263699Z","https://flexcareinfusion.com/about-us/#team"
145,"1","2024-04-01T14:54:54.187650Z","location: about/team",50992,6.683,"Bio","Brandon Kerns","2024-04-01T14:54:54.187677Z","http://carebridgehealth.com/team2023"
146,"1","2024-04-01T14:55:06.942619Z","location: homepage",50993,12.541,"Product/Feature","Products and Services","2024-04-01T14:55:06.942647Z","http://carebridgehealth.com/cbproductsandservices23"
147,"1","2024-04-01T14:57:25.919971Z","location: about/team",50994,138.759,"Title/role","President, PA Market","2024-04-01T14:57:25.919999Z","http://carebridgehealth.com/team2023"
148,"1","2024-04-01T14:57:34.661088Z","location: homepage",50995,8.54,"Neither","inc.com","2024-04-01T14:57:34.661124Z","https://www.inc.com/inc5000/2023/"
149,"1","2024-04-01T14:58:56.926012Z","location: homepage",50996,82.065,"Neither","Workforce Solutions","2024-04-01T14:58:56.926041Z","https://tryfacta.com"
150,"1","2024-04-01T15:01:01.816871Z","location: homepage",50997,124.666,"Neither","Help center","2024-04-01T15:01:01.816898Z","https://www.marketcall.com/help"
151,"1","2024-04-01T15:01:23.291813Z","location: homepage",50998,21.263,"Neither","Tryfacta Healthcare","2024-04-01T15:01:23.291841Z","https://tryfacta.com"
152,"1","2024-04-01T15:01:29.617216Z","location: homepage",50999,6.123,"Product/Feature","Payroll","2024-04-01T15:01:29.617247Z","https://tryfacta.com/strategic-workforce-solutions/payroll"
153,"1","2024-04-01T15:01:34.681384Z","location: about/team",51000,4.718,"Bio","Mike Tudeen","2024-04-01T15:01:34.681410Z","http://carebridgehealth.com/team2023"
154,"1","2024-04-01T15:01:37.313275Z","location: about/team",51001,2.434,"Title/role","Chief Operating Officer","2024-04-01T15:01:37.313303Z","http://carebridgehealth.com/team2023"
155,"1","2024-04-01T15:03:13.031811Z","location: homepage",51002,95.505,"Product/Feature","Overview","2024-04-01T15:03:13.031840Z","https://flexcareinfusion.com/providers/"
156,"1","2024-04-01T15:03:17.867309Z","location: about/team",51003,4.637,"Bio","Mark Kharoufeh began his journey in healthcare almost 30 years ago as a pediatric oncology nurse at Los Angeles Children’s Hospital. His evolution in healthcare through various clinical, leadership, and executive roles and a passion for customer service led him down a successful path of business operations. In 2012, Mark was a finalist for AZ Business Magazine’s “Healthcare Professional of the Year” for his leadership in an all-inclusive care under one roof ambulatory healthcare service model. Mark obtained his MBA from Grand Canyon University in 2015 and completed the University of Arizona Eller Executive Leadership Program in 2019.","2024-04-01T15:03:17.867336Z","https://flexcareinfusion.com/about-us/#team"
157,"1","2024-04-01T15:03:58.812152Z","location: homepage",51004,40.745,"Product/Feature","Industries","2024-04-01T15:03:58.812179Z","https://www.marketcall.com/industries"
158,"1","2024-04-01T15:04:02.444150Z","location: homepage",51005,3.439,"Product/Feature","Software & Platform","2024-04-01T15:04:02.444177Z","https://tryfacta.com/industry/software-platform"
159,"1","2024-04-01T15:04:05.562731Z","location: about/team",51006,2.924,"Title/role","Regional President, West","2024-04-01T15:04:05.562759Z","http://carebridgehealth.com/team2023"
160,"1","2024-04-01T15:04:15.439464Z","location: about/team",51007,9.681,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-04-01T15:04:15.439493Z","https://flexcareinfusion.com/about-us/#team"
161,"1","2024-04-01T15:04:19.510534Z","location: homepage",51008,3.876,"Product/Feature","Stuffing","2024-04-01T15:04:19.510562Z","https://tryfacta.com"
162,"1","2024-04-01T15:04:22.746063Z","location: about/team",51009,3.043,"Bio","Matthew Holden","2024-04-01T15:04:22.746090Z","https://flexcareinfusion.com/about-us/#team"
163,"1","2024-04-01T15:04:29.378096Z","location: homepage",51010,6.433,"Product/Feature","Executive Hiring","2024-04-01T15:04:29.378126Z","https://tryfacta.com/strategic-workforce-solutions/executive-hiring"
164,"1","2024-04-01T15:04:33.403155Z","location: homepage",51011,3.817,"Neither","dwight","2024-04-01T15:04:33.403181Z","https://upwardhealth.com/author/gettingraphic/"
165,"1","2024-04-01T15:04:36.504233Z","location: about/team",51012,2.905,"Title/role","Executive Chairman","2024-04-01T15:04:36.504268Z","http://carebridgehealth.com/team2023"
166,"1","2024-04-01T15:04:39.843980Z","location: homepage",51013,3.144,"Neither","Chameleon Shop Views","2024-04-01T15:04:39.844007Z","https://liveshopper.com/chameleon/"
167,"1","2024-04-01T15:04:41.879966Z","location: homepage",51014,1.842,"Neither","Support","2024-04-01T15:04:41.879995Z","https://www.marketcall.com/support"
168,"1","2024-04-01T15:04:43.507113Z","location: homepage",51015,1.429,"Neither","Follow","2024-04-01T15:04:43.507143Z","https://www.facebook.com/FlexCareInfusion"
169,"1","2024-04-01T15:04:47.133585Z","location: about/team",51016,3.433,"Title/role","National Medical Director - Clinical Operations","2024-04-01T15:04:47.133611Z","http://carebridgehealth.com/team2023"
170,"1","2024-04-01T15:04:52.181394Z","location: homepage",51017,4.835,"Neither","For affiliatesEasily monetize your traffic","2024-04-01T15:04:52.181422Z","https://www.marketcall.com/affiliates"
171,"1","2024-04-01T15:04:57.737826Z","location: about/team",51018,5.337,"Bio","Dr. Rick Cohen","2024-04-01T15:04:57.737853Z","http://carebridgehealth.com/team2023"
172,"1","2024-04-01T15:05:00.017431Z","location: about/team",51019,2.073,"Bio","After a successful launch to his career in Milwaukee, WI, Rick returned to Arizona to be closer to his extended family.  In Arizona, he oversaw all pharmaceutical operations of the hospital-based outpatient clinics at HonorHealth, where he met his future business partner, Mark Kharoufeh.  Rick and Mark co-founded InfuseAble Care in Scottsdale, AZ, in 2020.  When FlexCare acquired InfuseAble Care in 2021, Rick transitioned to EVP of Pharmacy, leading the supply chain and procurement initiatives across the enterprise.  With the recent acquisition of a specialty pharmacy, Rick extended his purview to include oversight of this valuable service line.","2024-04-01T15:05:00.017461Z","https://flexcareinfusion.com/about-us/#team"
173,"1","2024-04-01T15:05:02.909009Z","location: about/team",51020,2.697,"Title/role","President, Clinical Operations","2024-04-01T15:05:02.909038Z","http://carebridgehealth.com/team2023"
174,"1","2024-04-01T15:05:05.548439Z","location: homepage",51021,2.445,"Neither","Audits","2024-04-01T15:05:05.548467Z","https://liveshopper.com/audits/"
175,"1","2024-04-01T15:05:07.771860Z","location: about/team",51022,6.232,"About","Team — CareBridge","2024-04-01T15:05:15.862477Z","http://carebridgehealth.com/team2023"
176,"1","2024-04-01T15:09:11.884901Z","location: about/team",51023,232.597,"Bio","Austin graduated from the University of Oklahoma with a degree in mechanical engineering. His focus on electromechanical systems quickly led to a passion for automation and building software and data solutions. After gaining experience as a software and applications engineer, he started a software consulting company and has launched several enterprise web, desktop, and mobile applications.","2024-04-01T15:09:11.884927Z","https://flexcareinfusion.com/about-us/#team"
177,"1","2024-04-01T15:09:42.653497Z","location: homepage",51024,30.478,"About","Locations","2024-04-01T15:09:42.653523Z","https://flexcareinfusion.com/locations/"
178,"1","2024-04-01T15:09:50.175226Z","location: homepage",51025,7.316,"About","Blog","2024-04-01T15:09:50.175252Z","https://liveshopper.com/blog/"
179,"1","2024-04-01T15:09:58.083121Z","location: homepage",51026,7.706,"Product/Feature","In-Network Insurers","2024-04-01T15:09:58.083149Z","https://flexcareinfusion.com/in-network-insurers/"
180,"1","2024-04-01T15:10:01.751665Z","location: about/team",51027,3.47,"Bio","Derek Lindblom","2024-04-01T15:10:01.751693Z","http://carebridgehealth.com/team2023"
181,"1","2024-04-01T15:10:04.129368Z","location: about/team",51028,2.182,"Neither","×","2024-04-01T15:10:04.129398Z","https://flexcareinfusion.com/about-us/#team"
182,"1","2024-04-01T15:10:09.125536Z","location: about/team",51029,4.499,"Bio","Dr. Miranda Huffman","2024-04-01T15:10:09.125566Z","http://carebridgehealth.com/team2023"
183,"1","2024-04-01T15:10:12.369339Z","location: homepage",51030,3.012,"About","Team","2024-04-01T15:10:12.369366Z","http://carebridgehealth.com/team2023"
184,"1","2024-04-01T15:10:15.872642Z","location: homepage",51031,3.309,"Neither","Notice of Privacy Practices","2024-04-01T15:10:15.872671Z","http://carebridgehealth.com/cb-privacy-policy"
