url,location,text
https://greenlightdistribution.com,https://www.marketcall.com/contact,Contacts
http://carebridgehealth.com/team2023,,Dr. Doug Hsu
https://flexcareinfusion.com/about-us/#team,,×
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
https://flexcareinfusion.com/about-us/#team,,"Austin lives in Oklahoma City with his wife, Skye, and two kids. In his free time, you can find him on the running trail, golf course, or playing games and sports with his family and friends."
http://charterup.com,https://flexcareinfusion.com/careers/,Join Our Team
http://charterup.com,https://liveshopper.com/presto-why-presto/,Why PrestoShopper?
http://charterup.com,https://upwardhealth.com/service-locations/,Upward Health Locations
http://carebridgehealth.com/team2023,,"Dr. Henderson most recently served as the Chief Medical Officer of PopHealthCare and previously served as the Lead Medical Director for Uniteds LTSS program in Tennessee as well as on Uniteds national LTSS clinical team. She is board-certified in internal medicine, geriatrics, and palliative medicine as well as a certified Medical Director with the Society for Post-Acute and Long-Term Care Medicine. She also serves as a Lieutenant Colonel in the US Army Reserve."
http://carebridgehealth.com/team2023,,"Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities."
http://carebridgehealth.com/team2023,,Brad is the Executive Chairman of CareBridge Health and the Founder and Chief Executive Officer of Russell Street Ventures. Brad served as Co-Founder and CEO of Aspire Health and the Director of the Center for Medicare and Medicaid Innovation (CMMI).
http://carebridgehealth.com/team2023,,Chief Strategy Officer
http://charterup.com,https://www.wsilogix.com,Website Management by WSI Logix
http://carebridgehealth.com/team2023,,This is Squarespace.
http://charterup.com,https://flexcareinfusion.com/request-a-visit/,Request a Visit
https://flexcareinfusion.com/about-us/#team,,"Austin graduated from the University of Oklahoma with a degree in mechanical engineering. His focus on electromechanical systems quickly led to a passion for automation and building software and data solutions. After gaining experience as a software and applications engineer, he started a software consulting company and has launched several enterprise web, desktop, and mobile applications."
https://greenlightdistribution.com,https://www.marketcall.com/hiring,Vacancy
http://carebridgehealth.com/team2023,,Pam Coleman
https://flexcareinfusion.com/about-us/#team,,"Mark’s dedication to enhancing access to healthcare and a model that always places the patients and their caregivers at the center of every visit was the impetus for teaming up with Rick Yerondopoulos and establishing InfuseAble Care in November 2020. Through Mark and Rick’s reputation in Arizona for reliable and service-oriented healthcare, InfuseAble Care’s brand quickly became the trusted ambulatory infusion center for physicians to refer their patients to around the state. Mark and Ricks’s goals of scaling InfuseAble Care nationally came to fruition upon meeting Aaron Smith, Callie Turk, and Adam Midkiff of FlexCare and RC Capital and ultimately joined FlexCare Infusion via acquisition in December 2021."
http://carebridgehealth.com/team2023,,"Patti has nearly 25 years of Medicaid LTSS experience, most recently as the longstanding Assistant Commissioner and Chief of LTSS for TennCare, the Medicaid Agency in Tennessee. She is a lifelong family caregiver and a nationally recognized leader in HCBS policy and programs. She has managed LTSS, value-based purchasing, and initiatives to improve care for beneficiaries dually eligible for Medicare and Medicaid."
https://greenlightdistribution.com,https://tryfacta.com,Tryfacta Federal
https://flexcareinfusion.com/about-us/#team,,×
http://charterup.com,https://flexcareinfusion.com,Patients
http://carebridgehealth.com/team2023,,Vice Chairman
http://charterup.com,http://liveshopper.com,Login
http://liveshopper.com,https://tryfacta.com,Workforce Solutions
http://carebridgehealth.com/team2023,,Team — CareBridge
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
http://charterup.com,https://flexcareinfusion.com/providers/,Overview
http://charterup.com,https://upwardhealth.com/careers/,Careers
http://liveshopper.com,https://tryfacta.com/digital/cloud,Cloud
https://flexcareinfusion.com/about-us/#team,,Rick Yerondopoulos
http://carebridgehealth.com/team2023,,Dr. Rick Cohen
http://carebridgehealth.com/team2023,,html
https://birchcreekdev.com,https://www.marketcall.com/industries#vertical-real-estate,Real Estate
http://carebridgehealth.com/team2023,,Wilmarie Gonzalez
https://greenlightdistribution.com,https://www.marketcall.com/auth/login,Log in
https://flexcareinfusion.com/about-us/#team,,Vice President of Operations
http://charterup.com,https://liveshopper.com/auto-correct-auto-change/,Auto Correct Auto Change
http://charterup.com,https://liveshopper.com/online-monitoring/,Online Monitoring
http://carebridgehealth.com/team2023,,minnow-khaki-hzyd
http://carebridgehealth.com/team2023,,"Dr. Cohen most recently served as the Vice President Collaborative Innovation and Clinical Strategy at CVS Health.  Prior to CVS, he served as the Chief Medical Director for Post-Acute Care and Government Programs at eviCore, a Cigna company.  He is a board-certified internist with nearly thirty years of clinical and executive experience."
http://liveshopper.com,https://tryfacta.com,Press & Events
https://flexcareinfusion.com/about-us/#team,,Rebekkah Jackman
https://flexcareinfusion.com/about-us/#team,,Austin Wickersham
http://charterup.com,https://flexcareinfusion.com/referrals/,Referrals
https://flexcareinfusion.com/about-us/#team,,"Since uniting with FlexCare to provide a reimagined infusion experience across the country, FlexCare has grown to 30 ambulatory centers across three states."
http://carebridgehealth.com/team2023,,"Pam has more than 30 years of experience in Medicaid and has led efforts nationwide to develop, expand, and improve managed long-term services and supports (MLTSS) programs. Pam most recently served as a Director with Sellers Dorsey, a Medicaid consulting firm. Prior to that, Pam was the Director of Managed Care for the State of Texas Medicaid programs."
http://carebridgehealth.com/team2023,,Todd Leri
https://birchcreekdev.com,https://www.marketcall.com/industries#vertical-home-services,Home Services
http://charterup.com,https://upwardhealth.com/leadership/board-of-advisors/,Board of Advisors
http://charterup.com,https://liveshopper.com/appeals/,Appeals
http://charterup.com,https://liveshopper.com/chameleon/,Chameleon Shop Views
https://flexcareinfusion.com/about-us/#team,,×
http://carebridgehealth.com/team2023,,"Dr. Hsu most recently served as Vice President of Medical Policy and Utilization Review and One Care Medical Director at Commonwealth Care Alliance.  Prior to CCA, he helped develop and implement the Beth Israel Deaconess MassHealth Accountable Care Organization.  He is a board certified in internal medicine, pulmonary medicine, and critical care medicine."
http://charterup.com,https://upwardhealth.com/community-support/,Our Foundation
https://flexcareinfusion.com/about-us/#team,,Director of Revenue Cycle Management
https://greenlightdistribution.com,https://www.marketcall.com/industries#vertical-finance,Finance
http://carebridgehealth.com/team2023,,"Derek most recently led COVID-19 testing and mass and mobile vaccination efforts across the State of Illinois. Prior to that, he was a leader at Livongo (LVGO) and led teams with global consulting firm Bain & Co. and 7wireVentures VC Fund. He was also a policy advisor in the U.S. Senate and the City of Chicago Mayors Office."
http://carebridgehealth.com,http://carebridgehealth.com/team2023,Team
http://carebridgehealth.com,http://carebridgehealth.com/who-we-serve-23,Who We Serve
http://carebridgehealth.com/team2023,,Derek Lindblom
http://carebridgehealth.com/team2023,,Dr. Abhi Saxena
http://charterup.com,https://liveshopper.com/c-sat/,C-SAT
https://birchcreekdev.com,https://www.marketcall.com/automatization,Automatization
https://birchcreekdev.com/about/,,html
http://carebridgehealth.com/team2023,,Executive Chairman
http://carebridgehealth.com/team2023,,Chief Medical Officer
http://carebridgehealth.com/team2023,,Patti Killingsworth
http://carebridgehealth.com/team2023,,"President, Clinical Operations"
https://flexcareinfusion.com/about-us/#team,,"Rick currently resides in Scottsdale, AZ with his wife.  His son attends Northern Arizona University in Flagstaff, AZ."
http://charterup.com,https://flexcareinfusion.com/reviews,410+ Reviews
https://flexcareinfusion.com/about-us/#team,,Vice President of Technology
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
http://carebridgehealth.com/team2023,,0
http://charterup.com,https://upwardhealth.com/author/gettingraphic/,dwight
https://birchcreekdev.com,https://www.marketcall.com/lead-generation,Lead generation
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
http://liveshopper.com,https://tryfacta.com,Tryfacta Healthcare
http://liveshopper.com,https://www.tryfacta.com/career/careers#Why-Tryfacta,Be a Tryfactan
http://charterup.com,https://flexcareinfusion.com/in-network-insurers/,In-Network Insurers
http://carebridgehealth.com/team2023,,National Medical Director - Behavioral Health
https://greenlightdistribution.com,https://www.tryfacta.com/career/careers#Rewards-Benefits,Rewards & Benefits
http://carebridgehealth.com/team2023,,Dr. Miranda Huffman
https://flexcareinfusion.com/about-us/#team,,"Mark Kharoufeh began his journey in healthcare almost 30 years ago as a pediatric oncology nurse at Los Angeles Children’s Hospital. His evolution in healthcare through various clinical, leadership, and executive roles and a passion for customer service led him down a successful path of business operations. In 2012, Mark was a finalist for AZ Business Magazine’s “Healthcare Professional of the Year” for his leadership in an all-inclusive care under one roof ambulatory healthcare service model. Mark obtained his MBA from Grand Canyon University in 2015 and completed the University of Arizona Eller Executive Leadership Program in 2019."
http://carebridgehealth.com/team2023,,End of Squarespace Headers
https://birchcreekdev.com,https://www.marketcall.com/industries#vertical-insurance,Insurance
http://liveshopper.com,https://tryfacta.com/industry/software-platform,Software & Platform
https://flexcareinfusion.com/about-us/#team,,"Matt and his wife Rachel reside in Birmingham, AL with their two pets, Addie and Jenkins."
http://carebridgehealth.com/team2023,,Brad Smith
http://carebridgehealth.com/team2023,,National Medical Director - Clinical Operations
http://charterup.com,https://www.charterup.com/about-us/,About Us
http://charterup.com,https://liveshopper.com/dragon/,Dragon
https://greenlightdistribution.com,https://www.inc.com/inc5000/2023/,inc.com
http://carebridgehealth.com/team2023,,Puneet Singh
http://charterup.com,https://www.facebook.com/FlexCareInfusion,Follow
https://flexcareinfusion.com/about-us/#team,,×
http://charterup.com,https://liveshopper.com/mystery-shopping/,Mystery Shopping
http://carebridgehealth.com/team2023,,Brandon Kerns
https://flexcareinfusion.com/about-us/#team,,"Currently, Heather oversees RCM for FlexCare’s ambulatory infusion services and specialty pharmacy. She lives in Olathe, KS with her husband and two children."
http://carebridgehealth.com/team2023,,Chief Growth Officer
http://carebridgehealth.com,http://carebridgehealth.com/cbproductsandservices23,Products and Services
https://greenlightdistribution.com,https://tryfacta.com/industry/communication-and-media,Communication and Media
http://charterup.com,https://www.charterup.com/login/,Login
https://flexcareinfusion.com/about-us/#team,,Rebekkah Jackman joined FlexCare Infusion Centers in 2019 as a Managing Nurse Practitioner and Specialty Biologics Clinical Reviewer before assuming the role of Director of Patient Access in 2022. Rebekkah heads FlexCare’s industry-leading Intake team and ensures FlexCare patients experience the shortest time to treatment.
https://birchcreekdev.com,https://www.marketcall.com/auth/register/merchant,Sign up as an advertiserGet qualified leads for your business
http://liveshopper.com,https://tryfacta.com/strategic-workforce-solutions/statement-of-work,Statement of Work (SOW)
http://charterup.com,https://liveshopper.com/product-overview/,Product Overview
https://greenlightdistribution.com,https://www.marketcall.com/merchants,For advertisersGet qualified leads for your business
http://charterup.com,https://www.instagram.com/flexcare_infusion/,Follow
http://liveshopper.com,https://tryfacta.com#brand-identity,Diverse Workforce
https://flexcareinfusion.com/about-us/#team,,Matt Holden is an acute care Nurse Practitioner with over a decade of committed service to the patients in his community. Matt joined FlexCare in 2021 as a Managing Nurse Practitioner and led the launch of the first FlexCare location in Alabama before assuming the role of Vice President of Operations in 2023.
https://flexcareinfusion.com/about-us/#team,,"Executive Vice President, Business Development and Expansion"
https://birchcreekdev.com,https://www.marketcall.com/support,Support
https://flexcareinfusion.com/about-us/#team,,×
http://carebridgehealth.com/team2023,,Chief Executive Officer
http://charterup.com,https://upwardhealth.com/category/upward-health/,Upward Health
http://charterup.com,https://flexcareinfusion.com/locations/arizona/,Arizona
https://greenlightdistribution.com,https://tryfacta.com,Stuffing
https://flexcareinfusion.com/about-us/#team,,"Matt received his BSN from Auburn University before earning his MSN from Vanderbilt University. His experience includes Intensive Care, Transplant Medicine, Cardiothoracic Surgery, and Outpatient Care. Prior to joining FlexCare, Matt developed and launched two new service lines for an outpatient cardiology group in Alabama."
http://carebridgehealth.com/team2023,,Team
http://carebridgehealth.com/team2023,,"Mikes past leadership roles include serving as President and Chief Executive Officer at PopHealthCare, Optums EverCare, and INSPIRIS. These companies all deliver technology-enabled, cutting edge medical solutions, provided in home-based settings, contracting on full risk or value-based structures. Mike also serves on several healthcare company boards."
https://flexcareinfusion.com/about-us/#team,,Director of Patient Access
http://charterup.com,https://liveshopper.com/privacy-policy/,Privacy Policy
https://birchcreekdev.com,https://www.marketcall.com/fraud-prevention,Fraud prevention
https://flexcareinfusion.com/about-us/#team,,"Austin Wickersham joined FlexCare in 2020 as a software consultant before assuming the role of Vice President of Technology in 2021. He led the initiative to build a custom-developed enterprise software solution that supports and enhances FlexCare’s vital Intake team, and later led the projects to create data and reporting systems to support all departments. He oversees FlexCare’s software, data, IT, and communications projects."
http://charterup.com,https://liveshopper.com/audits/,Audits
http://charterup.com,https://insta.prestomobilesurveys.com/site/Login,Clients
http://carebridgehealth.com/team2023,,Chief Financial Officer
http://charterup.com,https://liveshopper.com/contact-us/,Contact Us
http://carebridgehealth.com,http://carebridgehealth.com/states,Current Users
http://carebridgehealth.com/team2023,,"Regional President, West"
http://charterup.com,https://liveshopper.com/blog/,Blog
http://charterup.com,https://liveshopper.com/sassie-systems/,Sassie Systems
https://birchcreekdev.com,https://www.marketcall.com/tools,Marketing Tools
https://greenlightdistribution.com,https://www.marketcall.com/payouts,Payouts
http://carebridgehealth.com/team2023,,"Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing."
http://charterup.com,http://qm7.af6.myftpupload.com/notice-of-privacy-practices/,Notice of Privacy Practices
http://carebridgehealth.com,http://carebridgehealth.com/news,News
http://charterup.com,https://upwardhealth.com/leadership/board-of-directors/,Board of Directors
https://greenlightdistribution.com,https://www.marketcall.com/industries,Industries
http://carebridgehealth.com/team2023,,"President, PA Market"
http://liveshopper.com,https://tryfacta.com,Executive Hiring
http://liveshopper.com,https://tryfacta.com,Link 2
https://greenlightdistribution.com,https://tryfacta.com/industry/banking,Banking
https://flexcareinfusion.com/about-us/#team,,Mark Kharoufeh
https://birchcreekdev.com,https://www.marketcall.com/affiliates,For affiliatesEasily monetize your traffic
http://carebridgehealth.com,http://carebridgehealth.com/cb-privacy-policy,Notice of Privacy Practices
http://charterup.com,https://upwardhealth.com,About
http://carebridgehealth.com/team2023,,Dr. Huffman is a family physician with a Masters in in Education who continues to mentor students in a free clinic and teaches clinical medicine at Meharry Medical College. She has a particular interest in the care of patients with substance use disorders and chronic pain.
https://greenlightdistribution.com,https://www.marketcall.com/auth/register/affiliate,Sign up as an affiliateEasily monetize your traffic
http://charterup.com,https://flexcareinfusion.com,Providers
http://charterup.com,https://www.linkedin.com/company/flexcareinfusion/,Follow
http://charterup.com,https://upwardhealth.com/core-values/,Core Values
https://greenlightdistribution.com,https://mthink.com/best-pay-per-call-networks/,mthink.com
http://charterup.com,https://www.charterup.com/blog/,Blog
http://carebridgehealth.com/team2023,,Dr. Saxena most recently served as the medical director of hospital services for Vanderbilt Behavioral Health. He is the medical director of behavioral health services at Southwell Health System and is certified by the American Board of Psychiatry and Neurology.
http://carebridgehealth.com/team2023,,"Lynne most recently served as President of the Clinical Care business for Matrix Medical Network, providing in-home assessments supporting risk adjustment and HEDIS gap closure for health plan customers. Prior to Matrix, Lynne spent 10 years with UnitedHealth Group in various leadership positions."
https://flexcareinfusion.com/about-us/#team,,"Executive Vice President, Pharmacy"
http://charterup.com,https://upwardhealth.com/2023/12/19/,"December 19, 2023"
http://carebridgehealth.com/team2023,,"Todd most recently served as Senior Vice President of Business Development at Remedy Partners, where he was a founding member of the management team and led Remedys risk partnerships. Prior to Remedy, he served as a Director in Alvarez & Marsals healthcare restructuring group."
https://greenlightdistribution.com,https://www.marketcall.com/industries#vertical-rehab,Rehab
https://flexcareinfusion.com/about-us/#team,,"After a successful launch to his career in Milwaukee, WI, Rick returned to Arizona to be closer to his extended family.  In Arizona, he oversaw all pharmaceutical operations of the hospital-based outpatient clinics at HonorHealth, where he met his future business partner, Mark Kharoufeh.  Rick and Mark co-founded InfuseAble Care in Scottsdale, AZ, in 2020.  When FlexCare acquired InfuseAble Care in 2021, Rick transitioned to EVP of Pharmacy, leading the supply chain and procurement initiatives across the enterprise.  With the recent acquisition of a specialty pharmacy, Rick extended his purview to include oversight of this valuable service line."
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
http://carebridgehealth.com,http://carebridgehealth.com/,Home
https://flexcareinfusion.com/about-us/#team,,Rebekkah graduated from the University of Oklahoma Health Sciences Center where she earned her Master of Science Degree in Nursing with a Family Nurse Practitioner emphasis. She has over 16 years of experience in patient care and is passionate about infusion therapy and best serving our patients.
https://flexcareinfusion.com/about-us/#team,,Heather Randel
https://birchcreekdev.com,https://www.marketcall.com/about,About
http://charterup.com,https://flexcareinfusion.com/virtual-tour/,Virtual Tour
http://charterup.com,https://upwardhealth.com/providers/,For Providers
http://liveshopper.com,https://tryfacta.com/strategic-workforce-solutions/executive-hiring,Executive Hiring
http://charterup.com,https://insta.prestomobilesurveys.com/site/Login,Resellers
https://flexcareinfusion.com/about-us/#team,,"Rick Yerondopoulos professional trajectory took him into leadership just 3 years after obtaining his Doctor of Pharmacy (Pharm.D.) from the University of Arizona. His desire to be a business leader in the world of pharmaceuticals and operations drove him to complete two post-graduate residencies in Milwaukee, WI, with a heavy concentration on administration leadership.  Rick was selected to represent the state of Wisconsin in a joint venture with the state of Iowa at the 2007 Young Pharmacy Leaders Conference."
https://flexcareinfusion.com/about-us/#team,,Matthew Holden
https://birchcreekdev.com,https://www.marketcall.com/help,Help center
https://birchcreekdev.com,https://www.marketcall.com/blog,Blog
https://flexcareinfusion.com/about-us/#team,,×
https://flexcareinfusion.com/about-us/#team,,"Rebekkah lives in Oklahoma City with her 3 kids and her dog. When she’s not keeping busy with her kids, you can find her in her craft room."
http://carebridgehealth.com/team2023,,Dr. Melinda Henderson
http://carebridgehealth.com/team2023,,Mike Tudeen
http://charterup.com,https://liveshopper.com/sassie-demos/,Demos
http://carebridgehealth.com,http://carebridgehealth.com/contact,Contact
http://charterup.com,https://flexcareinfusion.com/contact-us/,Contact Us
http://carebridgehealth.com,http://carebridgehealth.com/careers,Careers
http://charterup.com,https://www.linkedin.com/company/upward-health,Linkedin
https://greenlightdistribution.com,https://www.marketcall.com/industries#vertical-travel,Travel
http://charterup.com,https://flexcareinfusion.com/locations/,Locations
https://flexcareinfusion.com/about-us/#team,,"Heather Randel joined FlexCare in 2020 and led the development of the Intake team before taking over Revenue Cycle Management in 2022. Heather has 10 years of medical RCM experience in ambulatory, specialty pharmacy, and home infusion. Previously, Heather was the Assistance Director of RCM in Intake for a Specialty Pharmacy and Home Infusion service in Kansas."
http://carebridgehealth.com/team2023,,Chief Operating Officer
https://flexcareinfusion.com/about-us/#team,,Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting
http://carebridgehealth.com/team2023,,Lynne Schaffler
http://carebridgehealth.com/team2023,,Wilmaries past leadership roles include lead advocate as Pennsylvanias State Long-Term Care Ombudsman and overseeing the statewide protectives services programs. Wilmarie most recently served as Director of Quality designing the overall evaluation and quality infrastructure for the MLTSS program at the PA Department of Human Services.
http://carebridgehealth.com/team2023,,Chief Medical Director - Clinical Operations & Transformation
http://liveshopper.com,https://tryfacta.com/strategic-workforce-solutions/payroll,Payroll
http://charterup.com,https://liveshopper.com/who-we-are/,Who We Are
